0,1
0.1,0.956943
0.2,0.934027
0.3,0.919689
0.4,0.909253
0.5,0.900654
0.6,0.89294
0.7,0.885663
0.8,0.878609
0.9,0.871676
1,0.864814
1.1,0.857997
1.2,0.851216
1.3,0.844463
1.4,0.837736
1.5,0.831034
1.6,0.824357
1.7,0.817703
1.8,0.811073
1.9,0.804467
2,0.797886
2.1,0.791328
2.2,0.784795
2.3,0.778286
2.4,0.771802
2.5,0.765342
2.6,0.758908
2.7,0.752498
2.8,0.746113
2.9,0.739754
3,0.73342
3.1,0.727111
3.2,0.720828
3.3,0.714571
3.4,0.70834
3.5,0.702135
3.6,0.695956
3.7,0.689803
3.8,0.683677
3.9,0.677578
4,0.671505
4.1,0.665459
4.2,0.65944
4.3,0.653448
4.4,0.647483
4.5,0.641546
4.6,0.635636
4.7,0.629754
4.8,0.6239
4.9,0.618073
5,0.612275
5.1,0.606504
5.2,0.600762
5.3,0.595048
5.4,0.589363
5.5,0.583707
5.6,0.578079
5.7,0.57248
5.8,0.56691
5.9,0.561369
6,0.555858
6.1,0.550375
6.2,0.544922
6.3,0.539499
6.4,0.534106
6.5,0.528742
6.6,0.523408
6.7,0.518104
6.8,0.51283
6.9,0.507587
7,0.502374
7.1,0.497191
7.2,0.492038
7.3,0.486917
7.4,0.481826
7.5,0.476766
7.6,0.471736
7.7,0.466738
7.8,0.461771
7.9,0.456835
8,0.45193
8.1,0.447056
8.2,0.442214
8.3,0.437403
8.4,0.432624
8.5,0.427877
8.6,0.423161
8.7,0.418477
8.8,0.413825
8.9,0.409204
9,0.404616
9.1,0.40006
9.2,0.395535
9.3,0.391043
9.4,0.386583
9.5,0.382155
9.6,0.377759
9.7,0.373396
9.8,0.369065
9.9,0.364766
